food_name,energy_kcal,carb_g,protein_g,fat_g,fibre_g
Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4,1.99,1.39
Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96,0.34
Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04,0.75
Boondi raita,687.72,3.96,2.19,73.83,0.46
Sweet raita (Meetha raita),99.24,17.93,3.24,1.78,1.02
Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.4,0.97
Gunjia,667.34,5.68,2.98,70.28,1.13
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,0.93
Rice kheer (Chawal ki kheer),75.03,10.05,2.3,2.97,0.17
Makhana kheer,107.85,12.88,3.31,5,0.11
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5,0.5
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.2,0.51
Paneer kheer,105.31,10.03,4.53,5.37,0.07
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.8,0.51
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,0.73
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,0.55
Moong dal kheer,77.16,9.89,2.95,2.97,0.4
Phirni,116.12,16.11,3.49,4.34,0.36
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,1.86
Shahi suji halwa,382.34,44.44,3.48,21.73,2.96
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,2.65
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,0.49
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,1.64
Pumpkin halwa (Kaddu ka halwa),190.27,27.6,1.33,8.81,2.97
Moong dal halwa,349.8,40.23,8.35,17.68,2.65
Caramel custard (steamed),121.58,15.02,4.97,4.87,0
Baked custard,106.53,9.45,5.41,5.3,0
Soft Custard (stirred),109.18,11.19,5.01,5.07,0
Chocolate ice cream,177.7,15.41,4.47,11.25,0
Mango ice cream,125.69,11.14,3.4,7.62,0.52
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,0.33
Caramel ice cream,173.52,14.81,4.31,11.15,0.08
Lemon souffle,168.51,13.43,6.95,10.02,0
Orange souffle,168.28,14.2,6.8,9.73,0.22
Vanilla souffle,187.85,14.78,7.71,11.19,0
Chocolate souffle,189.32,14.74,7.88,11.36,0
Pineapple souffle,196.14,15.52,8.06,11.72,0
Apple mousse,106.92,12.77,4.21,4.27,1.6
Rich chocolate mousse,188.26,10.84,7.96,12.19,0
Mango mousse,124.98,9.14,3.21,8.47,0.88
Orange and pineapple cream,101.18,11.96,1.44,5.43,1.03
Charlotte rousse,188.29,34.08,3.95,4.78,1.01
Triffle pudding,116.97,18.24,2.93,3.93,0.12
Snow flakes pudding,95.21,8.07,4.67,4.97,0.03
Kulfi,98.43,11.3,3.21,4.7,0.12
Steamed orange pudding,278.03,41.53,2.34,12.04,0.58
Meringue and rice pudding,112.93,14.6,4.84,4.05,0.17
Cheese pudding,285.01,19.27,11.29,18.37,0.05
Chocolate pudding,211.96,29.59,3.55,9.48,0.53
Bread and butter pudding,167.94,19.63,5.59,7.88,0.98
Queen of pudding,132.92,16.35,5.51,5.38,0.27
Pineapple upside down pudding,257.73,35.73,3.15,11.91,0.8
Date and nut pie,322.42,46.86,3.93,13.31,4.13
Stewed apple with custard,92.87,18.36,1.27,1.82,1.01
Apple snowballs,101.51,24.58,0.86,0.31,1.25
Hot orange souffle,179.97,18.77,6.87,8.95,0.29
Hot chocolate souffle,226.09,26.21,6.7,11.1,0.12
Hot vanilla souffle,192.93,21.77,6.87,9.07,0.13
Plain burfi (Burfi),408.32,30.88,9.82,27.96,0.17
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,3.5
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,0.73
Chocolate burfi,339.33,33.15,13,17.86,0
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,1.12
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,3.41
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,4.68
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,6.69
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,4.43
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,7.72
Chenna murki,252.69,36.01,10.46,8.2,0
Milk cake,127.41,9.13,3.01,8.93,0.06
Ghujia/Lavang latika,768.98,13,1.86,78.93,0.52
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,0.07
Mal pua,566.68,17.56,1.71,54.64,0.62
Shahi tukre,189.81,41.46,2.76,2.54,0.51
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,1.03
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,1.11
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,1.26
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,1.13
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,1.02
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,1.18
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.86
Bread pakora/pakoda,710.99,8.87,2.57,74.2,1.11
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,0.89
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.83
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,1.19
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.39
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.02
Mathri,805.12,12.32,1.75,83.1,0.6
Khasta kachori,712.73,12.81,2.51,72.27,0.97
Vegetable cutlet,665.45,4.68,1.25,71.33,0.93
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.86
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74,1.21
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.54
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,0.41
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.93
Cheese toast,785.37,5.49,1.98,84.11,0.31
Vegetable burger,519.93,13.69,3.26,50.63,1.7
Cheese pizza,249.5,30.62,5.79,12.43,1.95
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.59
Masala vada,826.02,4.06,1.69,89.15,1.07
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,0.62
Vegeterian scotch egg,681.67,4.64,2.16,72.77,0.58
Paneer shaslik/tikka,93.85,7.98,5.11,4.49,1.23
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,2.63
Spring roll,623.87,8.56,1.81,64.63,0.67
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.7,3.74
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.8,19.06,5.73
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25,6.73
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,4.33
Custard tart,225.6,28.66,3.72,10.73,0.91
Lemon tart,303.35,30.68,6.12,17.45,0.81
Jam tart,360.72,46.18,4.42,17.35,1.14
Orange cream tart,197.16,27.43,2.58,8.72,0.64
Pineapple tart,195.4,28.62,2.29,8.21,0.87
Cheese and mushroom tart,246.1,21.43,5.51,15.28,1.18
Cottage cheese pie,238.98,20.66,7.45,13.83,2.21
Minced meat pie,221.55,18.11,7.38,13.04,2.33
Apple cinnamon pie,258.73,33.68,3.35,12.21,1.77
Lemon meringue pie,224.43,35.11,3.88,8.16,0.44
Chocolate meringue pie,214.76,28.8,4.98,9.17,0.37
Cream puffs,221.33,16,4.7,15.48,0.38
Chocolate eclairs,239.42,26.22,4.24,13.5,0.33
Cheese balls,681.28,4.81,2.21,72.57,0.18
Minced meat patties,265.72,15.25,6.88,19.57,0.77
Cheese patties,324.01,22.23,7.38,22.67,1.24
Hot cheese souffle,177.1,5.41,9.18,13.23,0.12
Hot potato souffle,125.64,8.56,5.51,7.64,0.66
Hot fish souffle,142.92,3.69,11.23,9.24,0.1
Hot spinach souffle,104.25,4.19,5.43,7.24,0.99
Plain cream cake,353.94,47.18,6.18,16.17,0.71
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,1.22
Marble cake,354.11,46.88,6.3,16.27,0.71
Chocolate cake,335.61,45.14,6.01,15.18,0.64
Orange cake,357.61,48.28,6.1,16.21,0.83
Fruit Loaf,324.19,46.49,5.36,13.31,0.87
Banana cake (Kele ka cake),389.51,40,5.77,23.31,1.14
Chocolate chiffon cake,311.71,37.87,5.76,15.8,0.7
Christmas cake,372.95,48.29,5.49,16.88,1.49
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,0.79
Eggless cake,318.08,46.14,8.12,11.75,0.68
Swiss roll,251.87,48.34,7.3,3.77,0.55
Pineapple pastry,208.21,29.04,6.06,7.87,0.72
Black forest pastry,233.55,34.48,6.09,8.46,0.54
Coconut finger,274.86,42.56,7.09,8.86,1.87
Pineapple cake,195.57,23.51,5.01,9.34,0.76
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,1.54
Chocolate chip cookies,425.29,57.98,5.79,19.38,1.05
Sweet plain biscuit,380.76,50.29,5.86,17.67,1.07
Chocolate biscuit,379.76,51.56,5.88,17.09,1.01
Coconut biscuit (Nariyal ke biscuit),434.98,42.9,5.78,27.16,3.64
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,1.68
Peanut biscuit,401.05,46.72,8.45,20.41,2.48
Pin wheel biscuit,404.6,54.56,5.4,18.66,1.16
Saffron biscuit (Kesar biscuit),458.61,59.7,6.05,22.01,1.9
Masala biscuit,393.64,45.18,6.06,20.75,2.14
Ice box cookies,374.24,56.09,5.7,14.44,1.28
Ginger bread man,365,60.26,6.61,11.01,1.6
Danish cookies,475.33,58,5.33,24.92,1.37
Short bread cookies,443.09,64.82,6.03,17.98,1.57
Coffee biscuit,416.57,46.55,6.9,23,1.59
Melting moments,437.91,55.84,5.71,21.78,1.88
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,1.49
Soyabean muthias,839.33,3.7,2.46,90.45,1.47
Soyabean tikki,698.17,4.39,3.53,74.02,2.2
Soyabean namak paras,838.46,4.65,2.65,89.83,1.41
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,4.09
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,0.81
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04,1.39
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,1.18
Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64,2.23
Sweet poori (Meethi poori),782.75,14.26,2.12,79.63,1.54
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,60,9.84,18.41,6.02
Spinach burfi (Palak burfi),121.17,12.76,2.71,6.81,1.17
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,62.66,9.51,7.93,8.16
Sprouted moong daliya,111.56,14.77,2.81,4.71,3.12
Sprouted moong poha,192.6,26.6,5.59,6.89,3.13
Pearl millet ladoo (Bajra ladoo),319.66,50.98,9.61,8.06,6
Paushtik ladoo,485.87,60.34,7.65,24.98,4.57
Paushtik roti,149.26,26.59,7.17,1.51,5.74
Semolina carrot vada (Suji gajar vada),699.53,6.52,1.56,74.07,1.07
Dhokla,216.49,30.68,13.45,5.28,4.95
Kashmiri tea (Kehwa),24.9,5.23,0.17,0.51,0.16
Steeped hot coffee,15.91,3.01,0.39,0.33,0
Hot chocolate,90.01,9.02,3.43,4.61,0
Cold coffee (with cream),82.76,11.98,1.93,3.29,0
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77,0.27
Flavoured milkshake,66.78,8.65,2.06,2.83,0
Jal jeera,30.24,6.7,0.44,0.26,0.95
Gingo,48.02,12.42,0.14,0.06,0.17
Mintade,40.32,10.59,0.03,0.02,0.03
Canjee,6.61,0.44,0.24,0.42,0.36
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.35,0.39,0.42,0.49
Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39,0.43
Vermicelli porridge (Semiya/Seviyan porridge),78.4,10.56,2.5,2.98,0.48
Semolina upma (Suji/Rava upma),147.89,16.31,3.3,7.49,3.24
Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45,3.21
Rice upma,151.27,17.96,2.63,7.46,2.12
Bread upma,129.51,12.6,2.8,7.75,1.96
Vegetable upma,146.47,16.46,4.73,6.63,4.19
Poha,294.53,35.05,6.09,14.14,3.72
Vegetable poha,180.52,21.52,4.89,8.07,3.76
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,4.25
Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,4.03
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.76,6.1,7.02,1.53
French omelette/omlet,211.04,0.41,10.03,18.86,0.38
Puffy omelette/omlet,188.15,0.08,8.82,16.84,0
Orange omelette/omlet,194.66,1.68,8.93,16.84,0
Cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82,0.93
Spanish omelette/omlet,157.45,5.1,8.25,11.44,2.54
Mixed stock,25.19,0.33,2.06,1.71,0.15
Meat stock,24.48,0,2.1,1.78,0
White stock,6.99,0.4,0.07,0.56,0.17
Meat consomme (with mutton),29.76,0.51,14.86,13.68,0.71
Consomme au julienne,27.76,1.49,12.49,10.66,1.38
Consomme au vermicelli,29.94,1.3,15.23,12.98,0.81
Green pea soup (Matar ka soup),39.81,3.63,11.06,12.9,2.49
Spinach soup (Palak ka soup),32.59,3.03,10.54,14.26,1.98
Mixed vegetable soup,35.71,2.95,8.22,11.66,1.64
Cheese soup,41.13,1.87,12.39,17.07,1.8
Mulligatawny soup,54.42,8.24,11.26,13.28,2.6
Cream of carrot soup,59.77,5.69,8.27,12.35,1.98
Cream of broccoli soup,56.14,3.72,8.97,12.75,1.89
Cream of potato soup,60.2,6.14,8.1,12.05,1.51
Almond soup (Badam ka soup),78.65,3.68,10.13,13.8,0.91
Cold cucumber cream soup,11.88,1.76,0.34,0.34,0.73
Cold tomato soup,16.9,0.59,0.11,1.56,0.16
Chicken stew,127.55,4.44,7.19,8.91,1.82
Veg paneer stew,145.55,10.22,6.98,8.41,3.08
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27,5.16
Methi parantha/paratha,148.36,22.19,4.27,4.34,5.09
Bathua poori,598.79,13.85,2.35,59.14,1.87
Gram flour poori (Besan poori),697.66,10.93,2.59,71.51,1.94
Beetroot poori (Chukandar ki poori),527.66,12.29,1.91,52.18,1.4
Peas poori (Matar ki poori),592.83,14.92,3.04,57.69,2.25
Peas kachori (Matar kachori),584.68,13.25,3.21,57.51,2.03
Pizza,146.77,9.94,6.85,8.72,1.71
Bacon and mushroom pancake,157.67,8.47,6.82,10.6,1.59
Cheese and tomato pancake,147.39,10.66,5.15,9.28,1.06
Minced meat pancake (with chicken),116.04,8.18,12.01,10.48,0.7
Eggplant/Brinjal rice (Vangi bhat),184.8,31.74,5.28,3.67,4.44
Kashmiri 'tahar',98.21,19.11,1.95,1.37,0.98
Cumin pulao (Jeera/Zeera pulao),135.24,23.61,2.47,3.2,1.4
Peas pulao (Matar pulao),108.87,18.42,3.89,1.9,3.21
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,19.72,3.6,2.3,3.16
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,21.55,3.44,2.58,2.69
Mutton pulao,130.77,11.26,6.52,10.78,1.65
Chicken pulao,108.24,11.17,6.07,8.48,1.64
Mexican rice,120.57,14.21,4.62,4.88,1.64
Plain khitchdi (Plain khichri/khichdi),57.03,10.04,1.72,1.01,0.85
Instant idli (with semolina),247.29,43.4,9.16,3.61,7.13
Plain dosa,380.91,64.08,10.34,8.43,5.23
Masala dosa mixed vegetable fillings,144.53,23.02,4.84,3.26,4.31
Masala dosa paneer fillings,243.12,29.76,10.31,8.84,3.11
Uttapam,255.95,36.28,6.18,9.03,4.4
Appam,267.7,13.28,3.12,22.63,6.19
Beans and macaroni,136.08,14.24,4.58,7.01,2.05
Spaghetti bolognese,97.43,10.04,9.35,9.51,1.08
Meat and macaroni casserole,161.55,16.12,9.15,10.17,1.19
Spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64,1.11
Spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44,1.25
Lasagne with meat sauce,63.38,5.38,2.9,3.43,0.47
Lasagne with vegetables,49.23,5.9,1.71,2.16,0.66
Home made egg noodles,240.84,42.92,6.55,4.37,1.6
Sour lentils (Khatti dal),34.79,6.04,2.22,0.12,1.22
Urad special dehusked,69.43,8.86,3.14,2.17,2.5
Arhar with spinach (Arhar dal aur palak),52.84,4.77,2.05,2.76,1.3
Moong dal with vadi,24.08,1,0.4,2.05,0.39
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,3.37,1.13,0.88,1.6
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,2.85,1.11,0.87,1.54
Green gram whole with baghar (Sabut moong dal with tadka),63.43,6.8,3.23,2.48,3.02
Urad sabut special,79.39,5.03,2.33,5.46,2.15
Kabuli channa curry,68.57,7.63,2.92,3.06,1.12
Besan gatte curry,189.38,16.26,7.75,10.72,3.25
Dry masala chops,135.07,3.3,9.08,9.54,0.86
Mutton korma,115.64,2.53,7.09,8.54,0.78
Shahi keema kofta curry,418.13,1.73,4.14,43.83,0.91
Minced meat ball curry,109.79,2.86,6.82,7.85,1.49
Boti kebab,132.86,3.06,9.22,9.27,0.76
Mutton seekh kebab,133.94,3.11,11.25,8.43,1.88
Indian lamb and egg curry (Nargisi kofta),335.75,2.07,3.84,34.7,0.6
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,3.27,2.85,55.99,0.86
Soya chunks korma (Nutrinugget korma),131.43,7.67,3.86,9.5,2.57
Mushroom matar,70.77,5.33,2.79,4.11,3.13
Soya chunks and peas (Nutrinugget matar),82.62,5.82,3.03,5.11,2.86
Vegetable yakhni,406.06,1.94,1.18,43.8,0.61
Spinach mushroom (Palak mushroom),47.63,2.95,1.94,2.96,2.27
Vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94,0.86
Roast chicken,199.9,0.1,20.49,13.06,0.03
Shahi chicken masala,163.7,4.07,9.82,12.02,0.96
Tomato chicken,111.68,2.13,10.57,6.71,1.42
Creamy chicken,152.87,3.13,13.52,9.57,0.69
Broccoli chicken ala king,119.56,5.34,7.97,7.57,1.92
Ginger chicken,129.17,5.6,8.24,8.24,1.21
Chicken sweet and sour,445.09,2.67,6.92,47.59,0.58
Chicken korma,147.96,5.43,9.83,9.67,1.82
Bengal fish curry (Bengali machli curry),109.43,4.42,7.26,7.03,1.93
Fish finger,542.9,4.47,5.66,55.82,0.34
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43,1.52
Prawn curry (with coconut) (Jhinga curry),109.55,3.1,8.54,6.93,1.56
Baked stuffed fish,121.96,2.12,16.14,5.43,0.38
Fish pie,120.9,7.74,9.25,5.77,0.76
Crispy baked fish,138.4,9.59,10.95,6.41,1.21
Fish souffle,139.71,5.14,10.51,8.55,0.19
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,2.42
Egg curry (Anda curry),117.52,4.03,5.38,8.81,2.09
Vegetable curry with coconut,83.07,7.19,2.77,4.66,3.35
Curd with potatoes (Dahi aloo),59.9,7.15,1.56,2.72,1.19
Potato kofta curry (Aloo kofta curry),455.4,2.78,0.56,49.08,0.56
Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84,1.04
Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.8,33.83,0.96
Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82,2.04
Mooli bhujia,91.2,4.74,1.69,7.25,2.36
Bathua bhujia,90.9,3.63,2.26,7.29,3.8
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,1.84
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,2.35
Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97,2.47
Masala arbi,185.38,16.16,3.01,11.9,3.1
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05,3.63
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.5,1.83,9.27,3.57
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.4,1.75
Beans foogath,105.06,3.26,2.03,9.22,4.15
Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24,2.86
Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78,1.33
Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79,1.44
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,3.26
Vegetable jalfrezi,68.48,5.43,1.4,4.38,2.97
Vegetables stir fry,30.78,3.19,1.04,1.47,1.37
Broccoli delight,40.7,2.34,2.49,2.48,2.83
Dhansak (vegetarian),82.8,7.28,3.32,4.18,4.17
Cauliflower basket,90.95,3.97,5.21,5.88,2.4
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.8,1.18
Ducheese potato,140.54,10.94,3.6,9.01,1.29
Roast potatoes,87.32,14.52,1.53,2.35,1.71
Stuffed baked potatoes,100.2,11.03,3.82,4.39,1.31
Potato nests,111.62,11.05,5.71,4.77,2.49
Parsley potato,119.51,13.81,1.49,6.28,1.59
Creamed spinach and mushroom,419.62,3.17,2.28,44.14,1.02
Fricassee of Mushroom,106.66,8.13,3.65,6.63,1.23
Cauliflower au gratin,145.9,9.13,4.45,10.2,1.44
Vegetable and cheese pie,126.88,8.76,4.03,8.28,1.91
Spinach souffle,150.18,6.27,7.36,10.52,1.44
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.4,3.36,6.45,0.55
Sour cream potato salad,121.9,9.05,2.89,8.13,1.21
Tossed green salad,49.88,3.82,1.33,3.24,1.33
Spring basket salad,160.46,11.61,3.36,11.3,3.09
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93,1.66
Chicken and tomato towers,100.55,2.36,6.9,6.99,1.14
Jellied sunshine fruit salad,48.86,4.21,5.85,0.85,1.8
Tomato aspic,50.37,5.02,6.87,0.26,1.58
Frozen frosty fruit salad (Phalon ka salaad),103.51,15.61,1.68,4.17,0.26
French dressing,733.77,3.68,0.32,79.65,0.22
Mayonnaise without eggs,329.05,3.98,2.13,33.84,0.04
Curd dressing,78.8,8.03,5.59,2.9,0.22
Carrot raita (Gajar ka raita),64.78,7.19,4.14,2.19,1.69
Pumpkin raita (Kaddu ka raita),55.6,6.02,3.74,1.88,1.04
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19,1.79
Spinach raita (Palak ka raita),52.75,5.06,3.95,1.86,1.39
Bathua raita,54.4,5.31,4.13,1.76,2.19
Pineapple raita (Ananas ka raita),67.74,8.62,3.9,2.02,1.39
Banana raita (Kele ka raita),89.03,13.51,4.13,2.07,1
Mango raita (Aam ka raita),67.37,8.23,3.9,2.14,0.89
Guava raita (Amarood ka raita),64.36,7.27,4.19,2.07,3
Grapes raita (Angoor ka raita),72.59,9.66,3.98,2.07,0.71
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,10,2.7,3.86,0.55
Pumpkin kheer (Kaddu ki kheer),86.35,10.44,2.76,3.86,0.63
Apple kheer (Seb ki kheer),81.3,11.34,2.14,3.18,0.51
Caramel custard (baked),122.7,14.95,5.11,5.01,0
Vanilla ice cream without egg,228.67,14.21,2.69,18.15,0
Vanilla ice cream with egg,214.85,11.71,4.16,17.02,0
Strawberry ice cream,215.61,12.26,4.15,16.96,0
Chocochip ice cream,241.45,16.75,4.23,17.93,0
Choconut ice cream,273.96,23.13,5.04,18.49,0.51
Pear chocholate sunday,183.49,15.02,2.08,13.11,0.07
Chocolate sauce,263.2,43.21,1.91,10.39,0
Coffee ice cream,150.62,14.09,3.15,9.43,0
Coffee pear alaska,203.99,19.36,2.88,13.22,0.15
Crunchy butterscotch,277.32,19.92,3.11,20.99,0.47
Peach melba ice cream,200.85,16.31,2.06,14.51,0.06
Vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45,0.26
Grape and orange whip,57.39,6.72,1.41,2.62,0.97
Honey banana cream,125.49,13.64,2.78,6.68,0.7
Raspberry bavarian cream,150.1,17.82,3.34,7.88,2.19
Fruit delight,107.09,9.11,2.09,7.09,0.09
Creamy chocolate mousse,230.52,9.53,6.85,18.16,0
Cold lemon souffle,169.87,15.62,5.89,9.78,0
Cold orange souffle,173.19,16.27,5.94,9.82,0.11
Cold pineapple souffle,181.22,16.85,6.23,10.39,0
Cold vanilla souffle,179.54,16.29,6.22,10.32,0
Cold chocolate souffle,187.53,17.22,6.37,10.86,0
Stewed fruit (with pear),74.32,18.22,0.25,0.32,2.84
Apricot fool,240.79,33.64,1.54,11.35,1
Pavlova,200.6,21.84,1.84,12.29,0.06
Apple crumb pudding,220.85,35.17,1.54,8.87,1.33
Steamed cake with chocolate sauce,301.91,29.06,4.49,19.01,0.29
Hot lemon souffle,155.25,16.31,5.29,7.93,0.14
Gulab jamun with milk powder,471.15,28.24,0.85,40.15,0.05
Chum chum,130.05,28.27,1.52,1.92,0.02
Dil bahar,130.05,28.27,1.52,1.92,0.02
Rasbhari,130.05,28.27,1.52,1.92,0.02
Rajbogh,133.7,28.16,1.71,2.28,0.11
Rasgulla,118.64,25.79,1.38,1.75,0.01
Rasmalai,135.55,29.17,1.61,2.11,0.07
Khoa coconut burfi,411.45,36.55,9.98,26.01,4.07
Danedar burfi,102.68,12.33,3.24,4.72,0.09
Semolina burfi (Suji/Rava burfi),348.67,47.1,3.47,16.86,2.8
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66,4.29
Khoa ladoo,396.02,34.43,12.21,24.09,3.08
Wheat and gram flour ladoo (Atta besan ladoo),501.7,50.5,9.38,29.86,6.01
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,48.02,5.44,25.45,4.27
Sesame chickpeas brittle (Til aur channe ki chikki),282.74,50.49,8.5,4.66,5.54
Murmura chikki,253.82,59.59,2.12,0.32,0.37
Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,6.48,2.05,57.61,1.44
Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,5.55,2.22,71.01,1.34
Chicken pakora/pakoda,590.09,4.55,6.03,60.98,0.96
Fish pakora/pakoda,577.03,4.55,5.97,59.52,0.96
Paneer cutlet,672.2,7.62,4.59,69.38,0.39
Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,11.23,0.56,56.97,0.54
Poshtik cutlet,496.45,7.39,2,50.94,1.35
